   
                   ПЕРЕЧЕНЬ ТЕСТОВ И ПОДТЕСТОВ.
  
  
  Идентификатор         Название
  
      Т110          Комплексный тест с Э1КБ
      
       Подтесты:
      Т110_00       Сброс итерфейса и проверка состояния
      Т110_01       УК- Проверка данных и ИД бегущей 1
      Т110_02       УК- Проверка данных и ИД бегущим 0
      Т110_03       УК- Проверка цепей квитанции (бег. 1)
      Т110_04       УК- Проверка цепей квитанции (бег. 0)
      Т110_05       УК- Проверка управляющих сигналов
      Т110_06       УК- Выд. в Э1КБ кода счет. с н. св.
      Т110_07       УК- Выд. в Э1КБ кода счет. с ош. св.
      Т110_08       УК- Пр. из Э1КБ кода счет. с н. св.
      Т110_09       УК- Пр. из Э1КБ кода счет. с ош. св.
      Т110_10       УК- Встречная передача данных
      Т110_11       БКпр- Нормальный обмен, код 00.
      Т110_12       БКпр- Источник короче приемника.
      Т110_13       БКпр- Источник длиннее приемника.
      Т110_14       БКпр- Имитация ошибки четности.
      Т110_15       БКпр- Нормальный обмен, код бег. 1.
      Т110_16       БКпр- Нормальный обмен, код бег. 0.
      Т110_17       БКпр- Нормальный обмен, код 55.
      Т110_18       БКпр- Нормальный обмен, код AA.
      Т110_19       БКпр- Нормальный обмен, код 55 и AA.
      Т110_20       БКпр- Нормальный обмен, код 00 и FF.
      Т110_21       БКпр- Нормальный обмен, код счетчик.
      Т110_22       БКпр- Измен. порядка байт, код счет.
      Т110_23       БКвыд- Нормальный обмен, код 00.
      Т110_24       БКвыд- Приемник короче источника.
      Т110_25       БКвыд- Приемник длиннее источника.
      Т110_26       БКвыд- Имитация ошибки четности.
      Т110_27       БКвыд- Нормальный обмен, код бег. 1.
      Т110_28       БКвыд- Нормальный обмен, код бег. 0.
      Т110_29       БКвыд- Нормальный обмен, код 55.
      Т110_30       БКвыд- Нормальный обмен, код AA.
      Т110_31       БКвыд- Нормальный обмен,код 55 и AA.
      Т110_32       БКвыд- Нормальный обмен,код 00 и FF.
      Т110_33       БКвыд- Нормальный обмен,код счетчик.
      Т110_34       БКвыд- Измен. порядка байт,код счет.
      Т110_35       БК- Встречная передача, код 00 и FF.
      Т110_36       Одновременная работа всех каналов.
      

                           - 2 -
      Т120          Комплексный тест с замыкателями
       
       Подтесты:
        Т120_00     Сброс итерфейса и проверка состояния
        Т120_01     УК- Код все нули c норм. сверткой
        Т120_02     УК- Код все нули с ошиб. сверткой
        Т120_03     УК- Код бегущая 1 c норм. сверткой
        Т120_04     УК- Код бегущая 1 c ошиб. сверткой
        Т120_05     УК- Код все единицы c норм. сверткой
        Т120_06     УК- Код все единицы c ошиб. сверткой
        Т120_07     УК- Код бегущий 0 c норм. сверткой
        Т120_08     УК- Код бегущий 0 c ошиб. сверткой
        Т120_09     УК- Код 00 и FF c норм. сверткой
        Т120-10     УК- Код 00 и FF c ошиб. сверткой
        Т120_11     УК- Код 55 и AA c норм. сверткой
        Т120_12     УК- Код 55 и AA c ошиб. сверткой
        Т120_13     УК- Код случайный c норм. сверткой
        Т120_14     УК- Код случайный c ошиб. сверткой
        Т120_15     БК- Проверка прерывания от ГПП
        Т120_16     БК- Проверка прерывания от ГИИ
        Т120_17     БК- Нормальный обмен, код все 0
        Т120_18     БК- Аварийный обмен. Пр.длиннее пер.
        Т120_19     БК- Аварийный обмен. Пер.длиннее пр.
        Т120_20     БК- Ошибка четности, код все 0
        Т120_21     БК- Нормальный обмен, код бег. 1
        Т120_22     БК- Ошибка четности, код бег. 1
        Т120_23     БК- Нормальный обмен, код все 1
        Т120_24     БК- Ошибка четности, код все 1
        Т120_25     БК- Нормальный обмен, код бег. 0
        Т120_26     БК- Ошибка четности, код бег. 0
        Т120_27     БК- Нормальный обмен, код 00 и FF
        Т120_28     БК- Ошибка четности, код 00 и FF
        Т120_29     БК- Нормальный обмен, код 55 и AA
        Т120_30     БК- Ошибка четности, код 55 и AA
        Т120_31     БК- Нормальный обмен, случайный код
        Т120_32     БК- Ошибка четности, случайный код
        Т120_33     БК- Обмен при ИПБП=0 и ИПБИ=1
        Т120_34     БК- Обмен при ИПБП=1 и ИПБИ=0
        Т120_35     БК- Обмен при ИПБП=1 и ИПБИ=1
        Т120_36     Передача данных УК на фоне БК
      
      Т210          Тест обмена с Э1КБ по УК
      
      Т220          Тест УК интерфейса с замыкателем
       
       Подтесты:
        Т220_00     Сброс итерфейса и проверка состояния
        Т220_01     Передача данных c норм. сверткой
        Т220_02     Передача данных с ошиб. сверткой
      
      Т310          Тест обмена с Э1КБ по БК
      

                           - 3 -
      Т320          Тест БК интерфейса с замыкателем
       
       Подтесты:
        Т320_00     Сброс итерфейса и проверка состояния
        Т320_01     Проверка прерывания от ГПП
        Т320_02     Проверка прерывания от ГИИ
        Т320_03     Нормальный обмен
        Т320_04     Аварийный обмен. Прием.длиннее пер.
        Т320_05     Аварийный обмен. Пер.длиннее прием.
        Т320_06     Аварийный обмен. Ошибка четности.
        Т320_07     Проверка обмена при ИПБП=0 и ИПБИ=1
        Т320_08     Проверка обмена при ИПБП=1 и ИПБИ=0
        Т320_09     Проверка обмена при ИПБП=1 и ИПБИ=1
        
      Т231          Формирование управляющих сигналов УК
       
       Подтесты:
        Т231_00     Проверка дешифратора адреса
        Т231_01     Установка / сброс РАЗ.П
        Т231_02     Установка / сброс РМ.П
        Т231_03     Сброс РМ.П при сбросе РАЗ.П
        Т231_04     Установка / сброс РАЗ.В
        Т231_05     Установка / сброс РМ.В
        Т231_06     Сброс РМ.В при сбросе РАЗ.В
        
      Т232          Запись / чтение регистров УК
       
       Подтесты:
        Т232_00     Установка / сброс ИФЧЕТ (OCR)
        Т232_01     Выдача ИД
        Т232_02     Выдача байта данных
        Т232_03     Чтение ИД
        Т232_04     Чтение байта данных
        Т232_05     Чтение INTR
        Т232_06     Чтение SR
        
      Т233          Наладочный тест УК с замыкателем
       
       Подтесты:
        Т233_00     Сброс итерфейса и проверка состояния
        Т233_01     Передача данных c норм. сверткой
        Т233_02     Передача данных с ошиб. сверткой
      
      Т331           Запись / чтение регистров БК
       
       Подтесты:
        Т331_00      Занесение кода в ICR
        Т331_01      Занесение кода в OCR
        Т331_02      Чтение INTR
        Т331_03      Чтение SR
        

                           - 4 -
      Т332           Наладочный тест БК с замыкателем
       
       Подтесты:
        Т332_00      Сброс итерфейса и проверка состояния
        Т332_01      Проверка прерывания от ГПП
        Т332_02      Проверка прерывания от ГИИ
        Т332_03      Нормальный обмен
        Т332_04      Аварийный обмен. Прием.длиннее пер.
        Т332_05      Аварийный обмен. Пер.длиннее прием.
        Т332_06      Аварийный обмен. Ошибка четности.
        Т332_07      Проверка обмена при ИПБП=0 и ИПБИ=1
        Т332_08      Проверка обмена при ИПБП=1 и ИПБИ=0
        Т332_09      Проверка обмена при ИПБП=1 и ИПБИ=1
      
      Т333           Имитация сигналов БК выдачи через УК
       
       Подтесты:
        Т333_00      Сброс итерфейса и проверка состояния
        Т333_01      Имитация ГПП и проверка прерывания
        Т333_02      Имит. БК выд.- Нормальный обмен
        Т333_03      Имит. БК выд.- Пер.длиннее прием.
        Т333_04      Имит. БК выд.- Обмен при ИФЧЕТ=1.
        Т333_05      Имит. БК выд.- Обмен при ИПБИ=1
        
      Т334           Имитация сигналов БК приема через УК
       
       Подтесты:
        Т334_00      Сброс итерфейса и проверка состояния
        Т334_01      Имитация ГИИ и проверка прерывания
        Т334_02      Имит. БК пр. - Нормальный обмен
        Т334_03      Имит. БК пр. - Ошибка ГИИ.
        Т334_04      Имит. БК пр.-ГИИ пропал при обмене.
        Т334_05      Имит. БК пр.- Ошибка четности.
        Т334_06      Имит. БК пр.- Обмен при ИПБП=1
