"General
Memories"	"Receive
Frequency"	"Op
Mode"	"RPT
Shift"	"RPT
Offset"	"Transmit
Frequency"	"Encoding
Method"	"CTCSS
Tone"	"DCS
Code"	"Show
Name"	"Memory
Name"	"Transmit
Power"	"Scan
Skip"	"Tuning
Step"	"Clk
Shift"	"Memory
Description"	"Bank 1 
 "	"Bank 2 
 "	"Bank 3 
 "	"Bank 4 
 "	"Bank 5 
 "	"Bank 6 
 "	"Bank 7 
 "	"Bank 8 
 "	"Bank 9 
 "	"Bank 10 
 "
1	430.0000	FM	Simplex	5.00		OFF	100.0	023	Freq		HIGH	Off	25.0 K	OFF											
2	Empty																								
3	Empty																								
4	Empty																								
5	Empty																								
6	Empty																								
7	Empty																								
8	Empty																								
9	Empty																								
10	Empty																								
11	Empty																								
12	Empty																								
13	Empty																								
14	Empty																								
15	Empty																								
16	Empty																								
17	Empty																								
18	Empty																								
19	Empty																								
20	Empty																								
21	Empty																								
22	Empty																								
23	Empty																								
24	Empty																								
25	Empty																								
26	Empty																								
27	Empty																								
28	Empty																								
29	Empty																								
30	Empty																								
31	Empty																								
32	Empty																								
33	Empty																								
34	Empty																								
35	Empty																								
36	Empty																								
37	Empty																								
38	Empty																								
39	Empty																								
40	Empty																								
41	Empty																								
42	Empty																								
43	Empty																								
44	Empty																								
45	Empty																								
46	Empty																								
47	Empty																								
48	Empty																								
49	Empty																								
50	Empty																								
51	Empty																								
52	Empty																								
53	Empty																								
54	Empty																								
55	Empty																								
56	Empty																								
57	Empty																								
58	Empty																								
59	Empty																								
60	Empty																								
61	Empty																								
62	Empty																								
63	Empty																								
64	Empty																								
65	Empty																								
66	Empty																								
67	Empty																								
68	Empty																								
69	Empty																								
70	Empty																								
71	Empty																								
72	Empty																								
73	Empty																								
74	Empty																								
75	Empty																								
76	Empty																								
77	Empty																								
78	Empty																								
79	Empty																								
80	Empty																								
81	Empty																								
82	Empty																								
83	Empty																								
84	Empty																								
85	Empty																								
86	Empty																								
87	Empty																								
88	Empty																								
89	Empty																								
90	Empty																								
91	Empty																								
92	Empty																								
93	Empty																								
94	Empty																								
95	Empty																								
96	Empty																								
97	Empty																								
98	Empty																								
99	Empty																								
100	Empty																								
101	Empty																								
102	Empty																								
103	Empty																								
104	Empty																								
105	Empty																								
106	Empty																								
107	Empty																								
108	Empty																								
109	Empty																								
110	Empty																								
111	Empty																								
112	Empty																								
113	Empty																								
114	Empty																								
115	Empty																								
116	Empty																								
117	Empty																								
118	Empty																								
119	Empty																								
120	Empty																								
121	Empty																								
122	Empty																								
123	Empty																								
124	Empty																								
125	Empty																								
126	Empty																								
127	Empty																								
128	Empty																								
129	Empty																								
