"PMS
Memories"	"Receive
Frequency"	"Op
Mode"	"RPT
Shift"	"RPT
Offset"	"Transmit
Frequency"	"Encoding
Method"	"CTCSS
Tone"	"DCS
Code"	"Show
Name"	"Memory
Name"	"Transmit
Power"	"Scan
Skip"	"Tuning
Step"	"Clk
Shift"
L1	Empty													
U1	Empty													
L2	Empty													
U2	Empty													
L3	Empty													
U3	Empty													
L4	Empty													
U4	Empty													
L5	Empty													
U5	Empty													
L6	Empty													
U6	Empty													
L7	Empty													
U7	Empty													
L8	Empty													
U8	Empty													
L9	Empty													
U9	Empty													
L10	Empty													
U10	Empty													
L11	Empty													
U11	Empty													
L12	Empty													
U12	Empty													
L13	Empty													
U13	Empty													
L14	Empty													
U14	Empty													
L15	Empty													
U15	Empty													
L16	Empty													
U16	Empty													
L17	Empty													
U17	Empty													
L18	Empty													
U18	Empty													
L19	Empty													
U19	Empty													
L20	Empty													
U20	Empty													
L21	Empty													
U21	Empty													
L22	Empty													
U22	Empty													
L23	Empty													
U23	Empty													
L24	Empty													
U24	Empty													
L25	Empty													
U25	Empty													
L26	Empty													
U26	Empty													
L27	Empty													
U27	Empty													
L28	Empty													
U28	Empty													
L29	Empty													
U29	Empty													
L30	Empty													
U30	Empty													
L31	Empty													
U31	Empty													
L32	Empty													
U32	Empty													
L33	Empty													
U33	Empty													
L34	Empty													
U34	Empty													
L35	Empty													
U35	Empty													
L36	Empty													
U36	Empty													
L37	Empty													
U37	Empty													
L38	Empty													
U38	Empty													
L39	Empty													
U39	Empty													
L40	Empty													
U40	Empty													
L41	Empty													
U41	Empty													
L42	Empty													
U42	Empty													
L43	Empty													
U43	Empty													
L44	Empty													
U44	Empty													
L45	Empty													
U45	Empty													
L46	Empty													
U46	Empty													
L47	Empty													
U47	Empty													
L48	Empty													
U48	Empty													
L49	Empty													
U49	Empty													
L50	Empty													
U50	Empty													
