List from: http://www.mdarc.org/resources/clubs-in-sf-bay-area

Location                    Name                                                                Contact
----------------------------------------------------------------------------------------------------------------------
Cupertino                   50 MHz and Up Group                                                 http://50mhzandup.org/
Alameda                     Amateur Radio Club of Alameda                                       http://www.arcaham.org/
Pleasant Hill               Amateur Radio Guild of Pleasant Hill                                http://amateurradioguildofpleasanthill.webs.com/
San Jose                    American Legion Post 318                                            http://www.alcapost318.org/index.php?id=90
Cupertino                   Association of Silicon Valley Amateur Radio Organizations (ASVARO)  http://www.asvaro.org/
Los Gatos                   Bay Area Communications Society (BAYCOM)                            http://www.wa6ycz.org/index.php
San Mateo                   Bay Area Educational Amateur Radio Society                          http://www.baears.com/
East & South Bay            Bay-Net Amateur Radio Club & Repeater Network                       http://bay-net.org/
Moffett Field               Carnegie Mellon University Silicon Valley Wireless Innovators       https://www.cmu.edu/silicon-valley/wireless-innovators/
San Francisco               Cathay Amateur Radio Club                                           http://cathayradio.org/
Alameda                     Coast Guard Island Amateur Radio Club                               http://w6nmc.org/
Pacifica                    Coastside Amateur Radio Club                                        http://www.coastsidearc.org/
San Pablo                   Contra Costa Communications Club (CCCC)                             http://www.wa6kqb.org/
Central Costa Costa County  Contra Costa Repeater Association (CCRA)                            http://ccra.us/
El Sobrante, Berkeley       East Bay Amateur Radio Club (EBARC)                                 http://www.ebarc.org/
Los Altos area              Foothills Amateur Radio Society                                     http://www.fars.k6ya.org/
Gilroy                      Fremont Peak Repeater Association (FPRA)                            http://www.fremontpeak.org/home/
Gilroy                      Garlic Valley Radio Club                                            http://www.gvarc.net/
Hayward                     Hayward Radio Club                                                  http://www.qsl.net/k6eag/index2.html
Cupertino                   Hewlett Packard Silicon Valley Radio Club                           http://www.pdarrl.org/clubs/hpsvrc/
                            Kensington Amateur Radio Operators and
Kensington, El Cerrito          El Cerrito Ham Operators (KARO-ECHO)                            https://www.karoecho.net/
Pacifica                    Knights of the MegaHertz                                            http://www.knightsmhz.org/
Saratoga                    Las Cumbres Amateur Radio Club                                      http://www.k6fb.com/
Sunnyvale                   Lockheed Martin Amateur Radio Club                                  http://www.qsl.net/lmarc/
Hollister                   Loma Pioneer Repeater Club                                          http://lprc.net/
San Mateo                   Mad Scientists Amateur Radio Club                                   http://msarc.net/
Martinez                    Martinez Amateur Radio Club                                         MTZArc@yahoo.com
Millbrae                    Millbrae Amateur Radio Club (MARC)                                  http://millbraearc.org/
Marina                      Monterey Bay Amateur Radio Association                              http://n6ij.org/
Morgan Hill                 Morgan Hill Amateur Radio Society                                   http://www.mhars.org
Contra Costa County         Mount Diablo Amateur Radio Club (MDARC)                             http://www.mdarc.org/
Mountain View               Mountain View Amateur Radio Association (MVARA)                     http://www.mvara.com/
Sacramento                  Mt.Vaca Radio Club                                                  http://www.mvrc.org/
Moffett Field               NASA Ames Research Center Amateur Radio Club (AARC)                 http://hamradio.arc.nasa.gov/
South Bay                   Northern California Contest Club (NCCC)                             http://nccc.cc/
San Jose                    Northern California DX Club (NCDXC)                                 http://www.ncdxc.org/
Cupertino                   Northern California DX Foundation                                   http://www.ncdxf.org/
Oakland                     Oakland Radio Communication Association (ORCA)                      http://www.ww6or.com/
Palo Alto                   Palo Alto Amateur Radio Association (PAARA)                         http://paara.org/
San Francisco               San Francisco Radio Club                                            http://www.sfarc.org/
San Francisco               San Francisco Ham Radio Club                                        http://www.qsl.net/no6pw/
San Jose                    San Jose IBM Club Amateur Radio Club                                http://www.ibmarc.org/snj
San Jose                    San Jose State University Amateur Radio Club (SJSUARC)              http://www.w6yl.com/
Felton                      San Lorenzo Valley Amateur Radio Club                               http://www.slvarc.org/
San Mateo                   San Mateo Radio Club                                                https://sites.google.com/site/w6uqhamradioclub/
Santa Clara                 Santa Clara County Amateur Radio Association                        http://www.qsl.net/sccara/
Santa Clara                 Santa Clara Valley Repeater Society                                 http://www.scvrs.org/
Santa Cruz                  Santa Cruz County Amateur Radio Club                                http://www.k6bj.org/
Saratoga                    Saratoga Amateur Radio Association                                  http://www.k6sa.net/
La Honda                    SC4 Amateur Radio Club                                              http://www.sc4arc.org/
San Jose                    Silicon Valley ATV Group                                            http://www.k6ben.com/K6BEN_ATV/Home.html
Fremont                     South Bay Amateur Radio Association (SBARA)                         http://www.sbara.org/
Mountain View               Southern Peninsula Emergency Communication System                   http://www.specsnet.org/
Richmond                    SS Red Oak Victory Amateur Radio Club                               http://www.qsl.net/redoakarc/
Stanford University         Stanford Amateur Radio Club                                         http://www-suares.stanford.edu/
Santa Cruz                  UCSC Amateur Radio Club                                             https://hams.soe.ucsc.edu/
Alameda                     USS Hornet Amateur Radio Club                                       http://www.hornet-arc.us/
San Francisco               USS Pampanito Amateur Radio Club                                    http://www.qsl.net/nj6vt/
Berkeley                    W6BB Amateur Radio Club                                             http://www.w6bb.org/
San Francisco               Washington High School Amateur Radio Club                           http://gwhsarc.weebly.com/
San Jose                    West Valley Amateur Radio Association                               http://www.wvara.org/
----------------------------------------------------------------------------------------------------------------------
