List from: http://www.mdarc.org/resources/clubs-in-sf-bay-area

Name                                                                Location                    Contact
----------------------------------------------------------------------------------------------------------------------
50 MHz and Up Group                                                 Cupertino                   http://50mhzandup.org/
Amador County Amateur Radio Club                                    Pine Grove                  http://k6arc.org/
Amateur Radio Association Of Central California (ARACC)             Fresno                      http://aracc.org/Home.html
Amateur Radio Club of Alameda                                       Alameda                     http://www.arcaham.org/
Amateur Radio Club of Anderson                                      Anderson                    http://www.qsl.net/arca/
Amateur Radio Guild of Pleasant Hill                                Pleasant Hill               http://amateurradioguildofpleasanthill.webs.com/
American Legion Post 318                                            Willow Glen                 http://www.alcapost318.org/index.php?id=90
Association of Silicon Valley Amateur Radio Organizations (ASVARO)  Cupertino                   http://www.asvaro.org/
Bakersfield Amateur Radio Association                               Bakersfield                 http://w6bar.tripod.com/home.htm
Bay Area Communications Society (BAYCOM)                            Los Gatos                   http://www.wa6ycz.org/index.php
Bay Area Educational Amateur Radio Society                          San Mateo                   http://www.baears.com/
Bay-Net Amateur Radio Club & Repeater Network                       East & South Bay            http://bay-net.org/
Benicia Amateur Radio Club                                          Benicia                     http://beniciaarc.com/wp/
Berryessa Amateur Radio Klub                                        Woodland                    http://barkradio.org/
Cal Poly Amateur Radio Club                                         San Luis Obispo             http://w6bhz.org/
Calaveras Amateur Radio Society                                     Angels Camp                 http://calaverasars.org/Web/
Carnegie Mellon University Silicon Valley Wireless Innovators       Moffett Field               https://www.cmu.edu/silicon-valley/wireless-innovators/
Cathay Amateur Radio Club                                           San Francisco               http://cathayradio.org/
Churchill Amateur Radio Society (C.A.R.S.)                          Minden, Nevada              http://nvcars.org/
Clovis Amateur Radio Pioneers                                       Clovis                      http://www.k6arp.org/
Coast Guard Island Amateur Radio Club                               Alameda                     http://w6nmc.org/
Coastside Amateur Radio Club                                        Pacifica                    http://www.coastsidearc.org/
Contra Costa Communications Club (CCCC)                             San Pablo                   http://www.wa6kqb.org/
Contra Costa Repeater Association (CCRA)                            Central Costa Costa County  http://ccra.us/
Del Norte Amateur Radio Club                                        Crescent City               http://w6hy.org/
Delta Amateur Radio Club                                            Pittsburg                   http://www.darc.club/
East Bay Amateur Radio Club (EBARC)                                 El Sobrante, Berkeley       http://www.ebarc.org/
Edison Amateur Radio Network                                        Diamond Bar                 http://w6sce.org/
El Dorado Amateur Radio Club                                        Placerville                 http://edcarc.net/
Elk Grove - Florin Amateur Radio Club                               Sacramento                  http://egfarc.org/
Elko Amateur Radio Club                                             Elko, NV                    http://www.w7lko.com/
Estero Radio Club                                                   Morro Bay                   http://sloradio.net/
Foothills Amateur Radio Society                                     Los Altos area              http://www.fars.k6ya.org/
Fremont Peak Repeater Association (FPRA)                            Gilroy                      http://www.fremontpeak.org/home/
Fresno Amateur Radio Club                                           Fresno                      http://w6to.com/
Friends & Amateur Radio Communications Enthusiasts (F.A.R.C.E.)     Gold River                  http://kf6nnm.net/
Garlic Valley Radio Club                                            Gilroy                      http://www.gvarc.net/
Golden Empire Amateur Radio Society                                 Chico                       http://www.gearsw6rhc.org/
Hamilton Wireless Association                                       San Rafael                  http://www.k6bw.org/
Hayward Radio Club                                                  Hayward                     http://www.qsl.net/k6eag/index2.html
Hewlett Packard Silicon Valley Radio Club                           Cupertino                   http://www.pdarrl.org/clubs/hpsvrc/
Humboldt Amateur Radio Club                                         Eureka                      http://www.humboldt-arc.org/
Kern County-Central Valley Amateur Radio Club                       Bakersfield                 http://www.w6lie.org/
Kensington Amateur Radio Operators and
    El Cerrito Ham Operators (KARO-ECHO)                            Kensington, El Cerrito      https://www.karoecho.net/
Kings Amateur Radio Club                                            Hanford                     http://www.qsl.net/ka6q/
Knights of the MegaHertz                                            Pacifica                    http://www.knightsmhz.org/
Lamorinda Area Radio Interest Group                                 Orinda                      https://www.facebook.com/K6ORI/
Las Cumbres Amateur Radio Club                                      Saratoga                    http://www.k6fb.com/
Las Vegas Radio Amateur Club                                        Las Vegas, NV               http://lvrac.org/
Lassen Amateur Radio Club                                           Susanville                  http://www.qsl.net/k6lrc/
Lawrence Livermore National Lab Radio Club                          Livermore                   kane2@llnl.gov
Livermore Amateur Radio Group Endeavors                             Livermore                   http://largeradio.org/
Livermore Amateur Radio Klub (LARK)                                 Livermore                   http://www.livermoreark.org/
Lockheed Martin Amateur Radio Club                                  Sunnyvale                   http://www.qsl.net/lmarc/
Lodi Amateur Radio Club                                             Lodi                        http://www.lodiamateurradioclub.org/
Loma Pioneer Repeater Club                                          Hollister                   http://lprc.net/
Los Banos Amateur Radio Club (LBARC)                                Los Banos                   http://www.qsl.net/lbarc/
Mad Scientists Amateur Radio Club                                   San Mateo                   http://msarc.net/
Madera County Amateur Radio Club                                    Oakhurst                    http://www.w6wgz.org/
Marin Amateur Radio Society                                         Mill Valley                 http://w6sg.net/site/
Mariposa Area Amateur Radio Organization                            Mariposa                    http://www.maaro.net/
Martinez Amateur Radio Club                                         Martinez                    MTZArc@yahoo.com
Millbrae Amateur Radio Club (MARC)                                  Millbrae                    http://millbraearc.org/
Monterey Bay Amateur Radio Association                              Marina                      http://n6ij.org/
Morgan Hill Amateur Radio Society                                   Morgan Hill                 http://www.mhars.org
Mother Lode DX / Contest Club                                       Martell                     http://mldxcc.org/
Mount Diablo Amateur Radio Club (MDARC)                             Contra Costa County         http://www.mdarc.org/
Mount Shasta Amateur Radio Club                                     Mount Shasta                http://w6bml.com/
Mountain Amateur Radio Club                                         Oakhurst                    http://www.w6bw.org/
Mountain View Amateur Radio Association (MVARA)                     Mountain View               http://www.mvara.com/
Mt.Vaca Radio Club                                                  Sacramento                  http://www.mvrc.org/
NASA Ames Research Center Amateur Radio Club (AARC)                 Moffett Field               http://hamradio.arc.nasa.gov/
Naval Post Graduate School Amateur Radio Club                       Del Rey Oaks                http://www.k6ly.org/
Nevada County Amateur Radio Club                                    Grass Valley                http://www.ncarc.org/
North Bay Amateur Radio Association (NBARA)                         Vallejo                     http://www.nbara.org/
North Hill Radio Club                                               Sacramento                  http://www.k6is.org/
Northern California Contest Club (NCCC)                             South Bay                   http://nccc.cc/
Northern California DX Club (NCDXC)                                 San Jose                    http://www.ncdxc.org/
Northern California DX Foundation                                   Cupertino                   http://www.ncdxf.org/
Northern California Ham Kids Group                                  Petaluma                    https://sites.google.com/site/norcalhamkids/
Northern California QRP Club                                        ---                         http://www.norcalqrp.org/
Oakland Radio Communication Association (ORCA)                      Oakland                     http://www.ww6or.com/
Oroville Amateur Radio Society                                      Oroville                    http://w6af.org/
Palo Alto Amateur Radio Association (PAARA)                         Palo Alto                   http://paara.org/
Placer Amateur Radio Klub                                           Placerville                 http://www.n6nmz.net/sharkk/Park/Index.htm
Porterville Amateur Repeater Association (PARA)                     Porterville                 http://portervilleham.com/
Radio Amateur Mobile Society                                        Fair Oaks                   http://www.w6hir.com/
Redwood Empire DX Association                                       Petaluma                    http://www.redxa.com/
Reno Ham Radio Club                                                 Reno, NV                    http://www.w7rhc.webs.com/
River City Amateur Radio Communications Society                     Sacramento                  http://www.n6na.org/
Sacramento Old Timer's Amateur Radio Society                        Sacramento                  http://sotars-qcwa.webs.com/
Salvation Army Team Emergency Radio Network (SATERN)                Concord                     http://www.saternconcord.org/
Samuel F. Morse Amateur Radio Club                                  Sacramento                  http://www.w6sfm.com/
San Benito County Amateur Radio Association                         Hollister                   http://sbcares.org/
San Francisco Radio Club                                            San Francisco               http://www.sfarc.org/
San Francisco Ham Radio Club                                        San Francisco               http://www.qsl.net/no6pw/
San Joaquin Valley Amateur Radio Society                            Fresno                      https://sites.google.com/site/sjvars/
San Jose IBM Club Amateur Radio Club                                San Jose                    http://www.ibmarc.org/snj
San Jose State University Amateur Radio Club (SJSUARC)              San Jose                    http://www.w6yl.com/
San Lorenzo Valley Amateur Radio Club                               Felton                      http://www.slvarc.org/
San Mateo Radio Club                                                San Mateo                   https://sites.google.com/site/w6uqhamradioclub/
Santa Clara County Amateur Radio Association                        Santa Clara                 http://www.qsl.net/sccara/
Santa Clara Valley Repeater Society                                 Santa Clara                 http://www.scvrs.org/
Santa Cruz County Amateur Radio Club                                Santa Cruz                  http://www.k6bj.org/
Saratoga Amateur Radio Association                                  Saratoga                    http://www.k6sa.net/
Satellite Amateur Radio Club                                        Santa Maria/ Lompoc         http://satellitearc.com/
SC4 Amateur Radio Club                                              La Honda                    http://www.sc4arc.org/
Sequoia Amateur Radio Group                                         Wofford Heights             http://www.n6krv.org/
Sierra Amateur Radio Club                                           Ridgecrest                  http://www.qsl.net/wa6ybn/
Sierra Foothills Amateur Radio Club                                 Auburn                      http://w6ek.org/
Sierra Intermountain Emergency Radio Association                    Minden, NV                  https://www.cvhams.com/
Sierra Nevada Amateur Radio Society (SNARS)                         Reno, NV                    http://snars.org/
Silicon Valley ATV Group                                            San Jose                    http://www.k6ben.com/K6BEN_ATV/Home.html
Silverado Amateur Radio Society                                     Napa                        http://napasars.net/
Siskiyou County Amateur Radio Association                           Yreka                       http://k6sis.com/
Sonoma County Radio Amateurs                                        Santa Rosa                  http://sonomacountyradioamateurs.com/wp/
Sonoma Mountain Repeater Society                                    Sonoma                      http://www.smrs.us/
Sons In Retirement Amateur Radio Club                               Danville                    http://www.qsl.net/w6zzt/
South Bay Amateur Radio Association (SBARA)                         Fremont                     http://www.sbara.org/
Southern Humboldt Amateur Radio Club (SHARC)                        Redway                      http://sharc-ca.org/
Southern Peninsula Emergency Communication System                   Mountain View               http://www.specsnet.org/
SS Red Oak Victory Amateur Radio Club                               Richmond                    http://www.qsl.net/redoakarc/
Stanford Amateur Radio Club                                         Stanford University         http://www-suares.stanford.edu/
Stanislaus Amateur Radio Association                                Modesto                     http://www.saraclub.net/index.html
Stockton - Delta Amateur Radio Club                                 Stockton                    http://www.w6sf.org/
Tahoe Amateur Radio Association                                     South Lake Tahoe            http://tahoeamateurradio.com/
Trilogy Radio Club                                                  Rio Vista                   http://w6vvr.net/trilogy/
Trinity County Amateur Radio Club                                   Weaverville                 http://trinityhams.com/
Tulare County Amateur Radio Club                                    Visalia                     http://www.tcarc.net/
Tuolumne County Amateur Radio Electronics Society                   Sonora                      http://www.tcares.net/
Turlock Amateur Radio Club                                          Turlock                     http://w6bxn.org/
UCSC Amateur Radio Club                                             Santa Cruz                  https://hams.soe.ucsc.edu/
University of Nevada - Reno Radio Pack                              Reno                        http://wolfweb.unr.edu/homepage/radio/
USS Hornet Amateur Radio Club                                       Alameda                     http://www.hornet-arc.us/
USS Pampanito Amateur Radio Club                                    San Francisco               http://www.qsl.net/nj6vt/
Vaca Valley Radio Club (VVRC)                                       Vacaville                   http://w6vvr.net/
Valley of the Moon Amateur Radio Club                               Sonoma                      http://vomarc.org/
W6BB Amateur Radio Club                                             Berkeley                    http://www.w6bb.org/
W6YDD Radio Club                                                    Sacramento                  http://www.w6ydd.org/
Washington High School Amateur Radio Club                           San Francisco               http://gwhsarc.weebly.com/
West Valley Amateur Radio Association                               San Jose                    http://www.wvara.org/
Western Placer Amateur Radio Club                                   Roseville                   http://www.wparc.us/
Western Public Service System (WPSS)                                Statewide                   http://www.3952khz.net/
Willits Amateur Radio Society                                       Willits                     http://w6mmm.club/
Yolo Amateur Radio Society (YARS)                                   Davis                       http://www.yars.org/
Yuba Sutter Amateur Radio Club                                      Grass Valley                http://www.ysarc.org/
----------------------------------------------------------------------------------------------------------------------
