#
# Results of my listening and scanning the ham bands.
# Location: Santa Clara
#
Index   Data        Frequency   Activity
    1   2018-08-16  144.975     data
    2   2018-08-16  145.000     data
    3   2018-08-16  145.170     noise
    4   2018-08-16  145.230     voice
    5   2018-08-16  145.290     noise
    6   2018-08-16  145.430     voice
    7   2018-08-16  145.475     voice
    8   2018-08-16  146.640     noise
    9   2018-08-16  146.655     callsign
   10   2018-08-16  146.670     voice
   11   2018-08-16  146.700     voice
   12   2018-08-16  146.820     voice
   13   2018-08-16  146.850     callsign
   14   2018-08-16  146.865     noise
   15   2018-08-16  147.045     callsign
   16   2018-08-16  147.060     voice
   17   2018-08-16  147.105     data
   18   2018-08-16  147.150     callsign
   19   2018-08-16  147.180     voice,data
   20   2018-08-16  147.330     callsign
   21   2018-08-16  147.855     noise
   22   2018-08-16  147.870     voice
   23   2018-08-16  147.945     voice
   24   2018-08-16  440.125     data
   25   2018-08-16  440.225     noise
   26   2018-08-16  440.275     voice
   27   2018-08-16  440.325     voice
   28   2018-08-16  440.450     test
   29   2018-08-16  440.500     data
   30   2018-08-16  441.025     voice
   31   2018-08-16  441.400     voice
   32   2018-08-16  441.625     voice
   33   2018-08-16  441.700     callsign
   34   2018-08-16  441.775     callsign
   35   2018-08-16  441.825     data
   36   2018-08-16  441.850     data
   37   2018-08-16  441.950     data
   38   2018-08-16  442.125     voice
   39   2018-08-16  442.450     voice
   40   2018-08-16  442.500     callsign
   41   2018-08-16  442.875     data
   42   2018-08-16  442.900     voice
   43   2018-08-16  442.975     voice
   44   2018-08-16  443.000     noise
   45   2018-08-16  443.050     voice
   46   2018-08-16  443.075     voice
   47   2018-08-16  443.225     voice
   48   2018-08-16  443.300     data
   49   2018-08-16  443.400     data
   50   2018-08-16  443.450     voice
   51   2018-08-16  443.500     data
   52   2018-08-16  443.550     voice
   53   2018-08-16  443.575     voice
   54   2018-08-16  443.700     voice
   55   2018-08-16  443.975     voice
   56   2018-08-16  444.025     data
   57   2018-08-16  444.075     data
   58   2018-08-16  444.100     callsign
   59   2018-08-16  444.425     data
   60   2018-08-16  444.475     data
   61   2018-08-16  444.675     voice
   62   2018-08-16  444.725     voice
   63   2018-08-16  444.800     voice
   64   2018-08-16  444.875     data
   65   2018-08-16  444.975     voice
