#
# Results of my listening and scanning the ham bands.
# Location: Sierra Vista Point
#
Index   Data        Frequency   Activity
    1   2018-08-19  145.230     voice
    2   2018-08-19  145.470     voice
    3   2018-08-19  146.655     voice
    4   2018-08-19  147.180     voice
    5   2018-08-19  147.270     voice
    6   2018-08-19  440.0375    data
    7   2018-08-19  440.075     voice
    8   2018-08-19  440.125     data
    9   2018-08-19  440.325     voice
   10   2018-08-19  440.525     voice
   11   2018-08-19  441.375     data
   12   2018-08-19  441.825     data
   13   2018-08-19  441.925     voice
   14   2018-08-19  442.300     voice
   15   2018-08-19  442.450     voice
   16   2018-08-19  442.750     voice
   17   2018-08-19  442.800     voice
   18   2018-08-19  442.875     data
   19   2018-08-19  442.900     voice
   20   2018-08-19  443.050     noise
   21   2018-08-19  443.150     voice
   22   2018-08-19  443.175     voice
   23   2018-08-19  443.300     data
   24   2018-08-19  443.325     voice
   25   2018-08-19  443.400     data
   26   2018-08-19  443.550     voice
   27   2018-08-19  443.575     voice
   28   2018-08-19  443.600     voice
   29   2018-08-19  444.025     data
   30   2018-08-19  444.0375    data
   31   2018-08-19  444.075     data
   32   2018-08-19  444.725     voice
   33   2018-08-19  444.975     voice
