OUTPUT      INPUT       CALL    LOCATION        SPONSOR     STATUS              NOTES           STATION TYPE
144.9625    147.4625    W6OTX   San Jose        PAARA       Not Coordinated     #oelx           DMR Repeater
145.1700    144.5700    K6GL    Sunnyvale       SNNYVLARES  Not Coordinated     #o94.8ers       Analog Repeater
145.1700    144.5700    K6SNY   Sunnyvale       SARES-RG    Coordinated         o94.8ers        Analog Repeater
145.1900    144.5900    WA2IBM  San Jose        IBM ARC     Not Coordinated     #o151.4ae       Analog Repeater
145.2100    144.6100    KB6FEC  San Jose        AREA        Coordinated         o114.8rs        Analog Repeater
145.2100    144.6100    N6HU    Soledad         N6HU        Coordinated         cel             Analog Repeater
145.2300    144.6300    N6NFI   Palo Alto       SPARK/SARS  Coordinated         o100.0aersx     Analog Repeater
145.2500    144.6500    NA6MF   Moffett Field   Ames ARC    Coordinated         o123.0rs        Analog Repeater
145.2700    144.6700    W6ASH   Mountain View   SPECS RA    Coordinated         o100.0aelrs     Analog Repeater
145.3100    144.7100    KB6FEC  San Jose        AREA        Coordinated         o162.2rs        Analog Repeater
145.4300    144.8300    W6MLP   Milpitas        MARES       Coordinated         o85.4elrs       Analog Repeater
145.4500    144.8500    K6FB    Los Gatos       LCARC       Coordinated         o100.0elrsx     Analog Repeater
146.1150    146.7150    AA6BT   San Jose        SVECS       Coordinated         o100.0aersx     Analog Repeater
146.3550    146.9550    KE6MON  San Jose        LAPU-LAPU   Coordinated         o123.0          Analog Repeater
146.6400    146.0400    WR6ABD  San Jose        LPRC        Coordinated         o162.2ex        Analog Repeater
146.6550    146.0550    K6SA    Saratoga        SARA        Coordinated         o114.8elrs      Analog Repeater
146.7450    146.1450    W6LAH   LosAltosHills   LAHEG       Coordinated         ce              Analog Repeater
146.7450    146.1450    W6LAH   LosAltosHills   LAHEG       Coordinated         o110.9e         Analog Repeater
146.7600    146.1600    WB6OQS  San Jose        SCVRS       Not Coordinated     #o151.4alx      Analog Repeater
146.8200    146.2200    K6INC   San Jose        SCAN INT'L  Coordinated         o123.0          Analog Repeater
146.8950    146.2950    KB6FEC  San Jose        KB6FEC      Coordinated         o110.9rs        Analog Repeater
