OUTPUT      INPUT       CALL    LOCATION        SPONSOR     STATUS              NOTES           STATION TYPE
145.1500    144.5500    W6PW    San Francisco   SFARC       Coordinated         oersx           Fusion AMS Mode
145.3700    144.7700    N6ZX    Woodside        KMARC       Coordinated         o107.2ersx      Analog Repeater
145.3700    144.7700    N6ZX    Woodside        KMARC       Coordinated         o107.2ersx      Fusion AMS Mode
145.3900    144.7900    WW6BAY  Palo Alto       Bay-Net     Coordinated         o100.0elsx      Analog Repeater
146.0850    146.6850    WB5NVN  Portola Valley  Ray Rothro  Coordinated         o100.0e         Analog Repeater
146.6250    146.0250    KE6MNJ  Pescadero       PMAC/South  Coordinated         o114.8e         Analog Repeater
146.7300    146.1300    W6SCF   La Honda        SC4ARC      Coordinated         o114.8es        Analog Repeater
146.7900    146.1900    W6TP    San Francisco   GSPLRC      Coordinated         o114.8elx       Analog Repeater
146.8050    146.2050    KC6ULT  Burlingame      SMSO ESB    Coordinated         o192.8ers       Analog Repeater
146.8350    146.2350    WD6INC  Daly City       W1LLE       Coordinated         o123.0aelx      Analog Repeater
146.8650    146.2650    KC6ULT  Redwood City    SMSO ESB    Coordinated         o114.8ersx      Analog Repeater
146.8650    146.2650    KC6ULT  San Mateo       SMSO ESB    Coordinated         o114.8ersx      Analog Repeater
146.9100    146.3100    K6JDE   Daly City       K6JDE       Coordinated         o114.8          Analog Repeater
146.9250    146.3250    WA6TOW  Pacifica        CARC        Coordinated         o114.8aelrsx    Analog Repeater
146.9400    146.3400    K6AIR   Los Altos Hill  K6AIR       Coordinated         o123.0es        Analog Repeater
146.9550    146.3550    W6EZE   Moss Beach      W6EZE       Coordinated         o114.8e         Analog Repeater
147.0900    147.6900    WB6CKT  Belmont         WB6CKT      Coordinated         o100.0es        Analog Repeater
147.1050    147.7050    W6PW    San Francisco   SFARC       Coordinated         oersx           Dstar Voice
147.2850    147.8850    WR6HMB  Half Moon Bay   WR6HMB      Not Coordinated     #o114.8ers      Analog Repeater
147.3000    147.9000    N6MPX   San Mateo       MSARC       Coordinated         o100.0el        Analog Repeater
147.6750    147.0750    W6MTF   Redwood City    W6MTF       Not Coordinated     #o114.8x        Analog Repeater

OUTPUT      INPUT       CALL    LOCATION        SPONSOR     STATUS              NOTES           STATION TYPE
440.0250    445.0250    N6TZE   Pacifica        Casey Vill  Coordinated         o114.8e         Analog Repeater
440.0750    445.0750    KR6WP   Belmont         KR6WP       Coordinated         o114.8e         Analog Repeater
440.1000    445.1000    WA6DQP  La Honda        WA6DQP      Coordinated         o114.8aes       Analog Repeater
440.4000    445.4000    WB6WTM  Redwood City    WB6WTM RG   Coordinated         o127.3l         Analog Repeater
440.4500    445.4500    N6ZX    Woodside        KMARC       Coordinated         o107.2es        Analog Repeater
440.5000    445.5000    N6AMG   Daly City       ERG         Coordinated         celx            Analog Repeater
440.5250    445.5250    N3TC    Daly City       N3TC        Coordinated         o225.7          Analog Repeater
