Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,AA6BT,146.11500,+,0.6,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
2,AA6PL,146.89500,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"San Carlos",
3,AB6AC,441.22500,+,5,Tone,127.3,88.5,23,NN,FM,5,"San Jose",
4,AB9U,146.50500,,0,Tone,100.0,88.5,23,NN,FM,5,"Los Gatos",
5,AD1U,146.97000,-,0.6,,88.5,88.5,23,NN,FM,5,"San Jose",
6,AF6EQ,441.87500,,0,Tone,100.0,88.5,23,NN,FM,5,"Sunnyvale-WIN System Affiliate",
7,AF6EQ,444.55000,+,5,Tone,100.0,88.5,23,NN,FM,5,"Sunnyvale",
8,AF6EQ,446.85000,,0,Tone,100.0,88.5,311,NN,FM,5,"Sunnyvale",
9,K1YJ,440.10000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
10,K6AIR,146.94000,-,0.6,Tone,123.0,88.5,23,NN,FM,5,"Los Altos Hill",
11,K6AIR,441.52500,+,5,Tone,123.0,88.5,23,NN,FM,5,"Los Altos Hill",
12,K6BEN,441.27500,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
13,K6BEN,443.12500,+,5,,88.5,88.5,23,NN,FM,5,"Saratoga",
14,K6CBR,146.55000,,0,Tone,110.9,88.5,23,NN,FM,5,"Mountain View",
15,K6CBR,446.45000,,0,Tone,110.9,88.5,23,NN,FM,5,"Roaming California",
16,K6CBR,446.50000,,0,Tone,110.9,88.5,23,NN,FM,5,"Roaming California",
17,K6EXE,443.02500,+,5,,88.5,88.5,23,NN,FM,5,"Milpitas",
18,K6FB,145.45000,-,0.6,Tone,100.0,88.5,23,NN,FM,5,"Los Gatos",
19,K6FB,442.57500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Palo Alto",
20,K6FUZ,147.10500,+,0.6,Tone,77.0,88.5,23,NN,FM,5,"Cupertino",
21,K6GL,145.17000,-,0.6,Tone,94.8,88.5,23,NN,FM,5,"Sunnyvale",
22,K6GOD,440.17500,+,5,Tone,131.8,88.5,23,NN,FM,5,"Hayward",
23,K6GOD,441.10000,+,5,Tone,156.7,88.5,23,NN,FM,5,"Santa Cruz",
24,K6GOD,442.35000,+,5,Tone,123.0,88.5,23,NN,FM,5,"San Jose",
25,K6GOD,444.72500,+,5,Tone,162.2,88.5,23,NN,FM,5,"San Jose",
26,K6GRC,145.31000,-,0.6,Tone,127.3,88.5,23,NN,FM,5,"Cupertino",
27,K6IB,434.30000,,0,Tone,85.4,88.5,23,NN,FM,5,"Fremont",
28,K6IB,434.45000,,0,Tone,85.4,88.5,23,NN,FM,5,"Fremont",
29,K6IB,434.72500,,0,Tone,100.0,88.5,23,NN,FM,5,"Fremont CA",
