Channel Modulation  Activity    Name    Receive   PL     Location
    1   DMR         -           W6OTX   144.9625  -      San Jose
    2   DMR         data        K6MDD   144.975   -      Concord
    3   DMR         -           W6TCP   144.9875  -      Fremont
    4   Dstar       data        W6CX    145.000   -      Concord
    5   DMR         -           W6YYY   145.0125  -      Pleasanton
    6   Dstar       -           K6ACS   145.040   -      Santa Rosa
    7   FM          -           WA6KQB  145.110   82.5   San Pablo
    8   FM          -           K6EAG   145.130   127.3  Hayward
    9   Fusion      -           W6PW    145.150   -      San Francisco
   10   FM          noise       K6SNY   145.170   94.8   Sunnyvale
   11   FM          -           WA2IBM  145.190   151.4  San Jose
   12   FM          -           KB6FEC  145.210   114.8  San Jose
   13   FM          voice       N6NFI   145.230   100.0  Palo Alto
   14   FM          -           NA6MF   145.250   123.0  Moffett Field
   15   FM          -           W6ASH   145.270   100.0  Mountain View
   16   FM          noise       KB6LED  145.290   131.8  Berkeley
   17   FM          -           KB6FEC  145.310   162.2  San Jose
   18   FM          -           K6POU   145.330   100.0  Concord
   19   FM          -           AB6CR   145.350   100.0  Livermore
   20   Fusion      -           N6ZX    145.370   107.2  Woodside
   21   FM          -           WW6BAY  145.390   100.0  Palo Alto
   22   FM          -           WA6HAM  145.410   107.2  San Ramon
   23   FM          voice       W6MLP   145.430   85.4   Milpitas
   24   FM          -           K6FB    145.450   100.0  Los Gatos
   25   FM          -           WB6TMS  145.470   88.5   Pt Reyes Stn
   26   FM          voice       Unkn-1  145.475   -      ???
   27   FM          -           WA6HAM  145.490   107.2  Orinda
   28   FM          -           WB5NVN  146.085   100.0  Portola Valley
   29   FM          -           AA6BT   146.115   100.0  San Jose
   30   FM          -           AA6GV   146.205   88.5   Sonoma
   31   FM          -           KE6MON  146.355   123.0  San Jose
   32   FM          -           KM6EF   146.610   123.0  Union City
   33   FM          -           W6MTF   146.625   156.7  Oakland
   34   FM          noise       WR6ABD  146.640   162.2  San Jose
   35   FM          callsign    K6SA    146.655   114.8  Saratoga
   36   FM          voice       N6MM    146.670   110.9  Newark
   37   FM          voice       K6GWE   146.700   179.9  Mill Valley
   38   FM          -           W6SCF   146.730   114.8  La Honda
   39   FM          -           W6LAH   146.745   110.9  LosAltosHills
   40   FM          -           WB6OQS  146.760   151.4  San Jose
   41   FM          -           W6LLL   146.775   100.0  Livermore
   42   FM          -           W6TP    146.790   114.8  San Francisco
   43   FM          -           KC6ULT  146.805   192.8  Burlingame
   44   FM          voice       K6INC   146.820   123.0  San Jose
   45   FM          -           WD6INC  146.835   123.0  Daly City
   46   FM          callsign    K6LNK   146.850   103.5  Orinda
   47   FM          noise       KC6ULT  146.865   114.8  Redwood City
   48   FM          -           WB6NDJ  146.880   77.0   Oakland
   49   FM          -           KB6FEC  146.895   110.9  San Jose
   50   FM          -           KQ6YG   146.910   156.7  Hayward
   51   FM          -           WA6TOW  146.925   114.8  Pacifica
   52   FM          -           W6HUM   146.940   103.5  Whitethorn
   53   FM          -           W6EZE   146.955   114.8  Moss Beach
   54   FM          -           WA6INC  146.970   -      San Jose (closed)
   55   FM          -           W6UU    146.985   114.8  San Jose
   56   FM          -           WA6PWW  147.015   103.5  Fremont
   57   FM          -           WB6KHP  147.030   107.2  San Jose
   58   FM          callsign    W6SRR   147.045   94.8   Pleasanton
   59   FM          voice       W6CX    147.060   100.0  Concord
   60   FM          -           WB6CKT  147.090   100.0  Belmont
   61   FM          data        WA6DJ   147.105   100.0  Sunnyvale
   62   FM          -           AD6KV   147.120   100.0  Livermore
   63   FM          callsign    WA6YCZ  147.150   -      San Jose (closed)
   64   FM          -           KB6FEC  147.165   100.0  San Jose
   65   FM          voice,data  W6CO    147.180   91.5   Napa
