#
# Pins for Xilinx xc3s500e in fg320 package, sorted by pin number.
# Pinout tables and footprint diagrams for Spartan-3E family could be
# downloaded at http://www.xilinx.com/bvdocs/publications/s3e_pin.zip
#
ROW	COLUMN	NUMBER	BANK	DIFF	TYPE		PIN
A	1	A1	GND	.	GND		GND
A	2	A2	VCCAUX	.	JTAG		TDI
A	3	A3	0	.	INPUT		IP
A	4	A4	0	.	I/O		IO_L24P_0
A	5	A5	0	.	INPUT		IP_L22P_0
A	6	A6	0	.	I/O		IO_L20N_0
A	7	A7	0	DIFF	INPUT		IP
A	8	A8	0	.	I/O		IO
A	9	A9	0	.	VCCO		VCCO_0
A	10	A10	0	.	GCLK		IO_L12N_0/GCLK7
A	11	A11	0	.	I/O		IO
A	12	A12	0	DIFF	N.C.		N.C.
A	13	A13	0	.	I/O		IO_L05P_0
A	14	A14	0	.	I/O		IO_L04N_0
A	15	A15	0	.	INPUT		IP_L02N_0
A	16	A16	0	.	I/O		IO_L01N_0
A	17	A17	VCCAUX	.	JTAG		TCK
A	18	A18	GND	.	GND		GND
B	1	B1	VCCAUX	.	CONFIG		PROG_B
B	2	B2	GND	.	GND		GND
B	3	B3	0	.	DUAL		IO_L25N_0/HSWAP
B	4	B4	0	.	I/O		IO_L24N_0
B	5	B5	0	.	INPUT		IP_L22N_0
B	6	B6	0	.	I/O		IO_L20P_0
B	7	B7	VCCAUX	.	VCCAUX		VCCAUX
B	8	B8	0	.	GCLK		IP_L13P_0/GCLK8
B	9	B9	0	.	GCLK		IP_L13N_0/GCLK9
B	10	B10	0	.	GCLK		IO_L12P_0/GCLK6
B	11	B11	0	.	VREF		IO/VREF_0
B	12	B12	VCCAUX	.	VCCAUX		VCCAUX
B	13	B13	0	.	VREF		IO_L05N_0/VREF_0
B	14	B14	0	.	I/O		IO_L04P_0
B	15	B15	0	.	INPUT		IP_L02P_0
B	16	B16	0	.	I/O		IO_L01P_0
B	17	B17	GND	.	GND		GND
B	18	B18	1	.	INPUT		IP
C	1	C1	3	.	I/O		IO_L01P_3
C	2	C2	3	.	I/O		IO_L01N_3
C	3	C3	0	.	I/O		IO_L25P_0
C	4	C4	0	.	I/O		IO
C	5	C5	0	.	I/O		IO_L23P_0
C	6	C6	0	.	VCCO		VCCO_0
C	7	C7	0	.	I/O		IO_L18P_0
C	8	C8	0	.	INPUT		IP_L16P_0
C	9	C9	0	.	GCLK		IO_L14P_0/GCLK10
C	10	C10	GND	.	GND		GND
C	11	C11	0	.	I/O		IO_L09P_0
C	12	C12	0	.	INPUT		IP_L07P_0
C	13	C13	0	.	VCCO		VCCO_0
C	14	C14	0	.	VREF		IO_L03N_0/VREF_0
C	15	C15	0	.	INPUT		IP
C	16	C16	VCCAUX	.	JTAG		TDO
C	17	C17	1	.	DUAL		IO_L24N_1/LDC2
C	18	C18	1	.	DUAL		IO_L24P_1/LDC1
D	1	D1	3	.	I/O		IO_L02P_3
D	2	D2	3	.	VREF		IO_L02N_3/VREF_3
D	3	D3	3	.	INPUT		IP
D	4	D4	3	DIFF	N.C.		N.C.
D	5	D5	0	.	VREF		IO_L23N_0/VREF_0
D	6	D6	0	DIFF	N.C.		N.C.
D	7	D7	0	.	VREF		IO_L18N_0/VREF_0
D	8	D8	0	.	INPUT		IP_L16N_0
D	9	D9	0	.	GCLK		IO_L14N_0/GCLK11
D	10	D10	0	.	GCLK		IO_L11P_0/GCLK4
D	11	D11	0	.	I/O		IO_L09N_0
D	12	D12	0	.	INPUT		IP_L07N_0
D	13	D13	0	DIFF	INPUT		IP
D	14	D14	0	.	I/O		IO_L03P_0
D	15	D15	VCCAUX	.	JTAG		TMS
D	16	D16	1	.	DUAL		IO_L23N_1/LDC0
D	17	D17	1	.	DUAL		IO_L23P_1/HDC
D	18	D18	1	.	VREF		IP/VREF_1
E	1	E1	3	.	I/O		IO_L03N_3
E	2	E2	3	.	I/O		IO_L03P_3
E	3	E3	3	DIFF	N.C.		N.C.
E	4	E4	3	DIFF	N.C.		N.C.
E	5	E5	VCCINT	.	VCCINT		VCCINT
E	6	E6	0	DIFF	N.C.		N.C.
E	7	E7	0	.	VREF		IO_L19N_0/VREF_0
E	8	E8	0	.	I/O		IO_L17P_0
E	9	E9	0	.	I/O		IO_L15P_0
E	10	E10	0	.	GCLK		IO_L11N_0/GCLK5
E	11	E11	0	.	I/O		IO_L08P_0
E	12	E12	0	.	I/O		IO_L06N_0
E	13	E13	0	.	I/O		IO
E	14	E14	VCCINT	.	VCCINT		VCCINT
E	15	E15	1	DIFF	N.C.		N.C.
E	16	E16	1	DIFF	N.C.		N.C.
E	17	E17	1	DIFF	I/O		IO
E	18	E18	1	.	INPUT		IP
F	1	F1	3	.	I/O		IO_L05P_3
F	2	F2	3	.	I/O		IO_L05N_3
F	3	F3	3	.	VCCO		VCCO_3
F	4	F4	3	DIFF	I/O		IO
